parent_feature,child_feature,sibling_features,example_reviews,app_name,n_siblings,cluster_size,child_depth,tree_id,model_type,embedding_type,strategy,sample_size
verification checks,confirmation,"[""check"", ""verification""]","[""Relatively easy to use, but confirmations would improve the reliability, as I'm sometimes not certain the reset from my phone when I'm away from the residence actually registered.""]",Nest,2,3,1,Nest__cluster_4,t-frex,allmini,balanced,0
social connections,meet new people,"[""meet people"", ""meeting new"", ""meetings""]","[""It's very nice to have a site that's about your neighborhood. Helps to see what is going on around you and meet new people."", ""It's a great app . Fun to meet new people \ud83d\udc4d\ud83d\ude01\ud83d\ude01"", ""This is a great site to meet new people and sometimes find old friends. Some people are nice enough to help when asked.""]",Nextdoor: Your Neighborhood,3,4,3,Nextdoor: Your Neighborhood__cluster_20,t-frex,allmini,balanced,0
advertising,advertisement,"[""marketing"", ""ads""]","[""Nice app for shopping clothes. It also sells items other than clothes like accessories, school items, phone cases, facial care products, etc. No advertisements in the app. My only problem is how I press \""remind me\"" for check-in yet it doesn't remind me in my notifications."", ""The products were just like they were on the advertisement The material was of good quality and I was very satisfied with it"", ""Be careful! This company is charlatans! Completely disappointed with the quality, with the customer service and with the untruthful advertisements. Better to spend your money somewhere else to avoid disappointment \ud83d\ude1e \ud83d\ude1e The customer service you mentioned in your reply below is not helpful. Better you do not mention about your customer service, it does not exist in shein. Or just does not want to make a proper job. Disappointed!""]",SHEIN-Fashion Shopping Online,2,3,2,SHEIN-Fashion Shopping Online__cluster_50,t-frex,allmini,balanced,0
broadcasting,broadcast between,"[""broadcasting"", ""channel"", ""radio"", ""station""]","[""Overall good, only problem is broadcast between devices is not consistent.""]",Google Home,4,5,3,Google Home__cluster_7,t-frex,allmini,balanced,0
music  podcasts,song suggestions,"[""song selection"", ""song search"", ""songs"", ""video songs"", ""tunes"", ""music search""]","[""should be add free.... not good song suggestions"", ""My life worst purchase - bad song suggestions, too many glitches, many extraordinary features that are not needed, too much upselling, not upto the mark (sound quality savan super duper high quality= Spotify high quality), Bad experience, Need to change jiotune ? - Use MyJio not Jiosavvan !""]",JioSaavn - Music & Podcasts,6,7,2,JioSaavn - Music & Podcasts__cluster_7,t-frex,allmini,balanced,0
establishment feedback,establishments,"[""restaurant"", ""cafe""]","[""One good thing is that I am able to use the rewards to pay my Pandora prescription every month. One down side is I am rarely asked questions about some of the places I have been. It get more surveys about places and establishments that I have not been to.""]",Google Opinion Rewards,2,3,1,Google Opinion Rewards__cluster_4,t-frex,allmini,balanced,0
stalking,restraining,"[""stalking"", ""stalker""]","[""Great app to help in tracking the ones you love. Now I just need to figure out to install it for the ones I love that have a restraining order.""]",Life360: Find Family & Friends,2,3,1,Life360: Find Family & Friends__cluster_14,t-frex,allmini,balanced,0
food choices,family dinners,"[""food ordering"", ""food choices"", ""food options"", ""food orders"", ""family food""]","[""Great app for fast family dinners and there's always a deal or great family of four meal \ud83d\udc4c""]","Postmates - Food, grocery & more",5,6,2,"Postmates - Food, grocery & more__cluster_12",t-frex,allmini,balanced,0
screen capture,screenshot,"[""display"", ""screen""]","[""This is an amazing app, I probably used this for almost 3 years now because of it's convenient features and simplicity. This really helps my whole entire life. I also want the devs of this to know that my photos when I view them in my notes will turn into blurred photo, even that it's just a screenshot of my phone. So maybe fix it it whenever, it's just a really small but annoying bug for me, it alway ruin my day because I have to go to another app to view the photo."", ""I have been using keep for years and it had been very convenient especially when uploading screenshots. Nothing can beat keep when it comes to uploading phone screenshots and transfering them to PC. However, my only gripe is that my notes that have been organized under a label still appear under the Notes dashboard. I really prefer it that if I put a note under one label, it transfers that note to that label and disappears under the Notes dashboard. My reason is that I have hundreds of notes and I only remember the label and I only want to see that note in one place. Overall, the convenience and ubiquity of keep is unmatched."", ""I thought it was fixed. I was trying to save my screenshots or some things on my computer, but it didn't save it here on my phone. I tried to refresh it again, then it still didn't show up here. Hopefully you can fix this well. :(""]",Google Keep - Notes and Lists,2,3,1,Google Keep - Notes and Lists__cluster_10,t-frex,allmini,balanced,0
verification checks,confirmation,"[""verification"", ""verify"", ""check""]","[""Made a purchase through a website couldn't get the verification code to send to my email but the purchase still came off of my bank card. No confirmation of purchase through retailer or klarna app and just took my money so now I have to wait for the money to be released. Super inconvenient and unhelpful chat agent. Never will use this app after this first experience!!"", ""Back the beginning of December, I ordered from a website that I was immediately suspicious of. For the first time ever, I did not receive an order confirmation. So I tried contacting them both through the website and email. No response. So, I contacted Klarna, their \""help\"" was to repeatedly request information I didn't have and to repeatedly suggest I contact the company for the information. They didn't seem to comprehend not getting a response. I suggest stay clear of Klarna, try PayPal."", ""The app doesn't send me a sms for verification. Email confirmation works but sms doesn't. Got 4G and signal. Number is correct too.""]",Klarna | Shop now. Pay later.,3,4,1,Klarna | Shop now. Pay later.__cluster_3,t-frex,allmini,balanced,0
card scanning,business cards,"[""id cards"", ""card"", ""creditcard""]","[""Indispensable! Great and easy to capture documents, images, business cards. Good image processing and lots of share options. Recommended. Used for years. RECENTLY FRUSTRATED- Had upgraded, but spp still asks me to upgrade."", ""I've used Camscanner for several years and still love it. I find it a great place to save documents, labels, business cards, and other things that I might otherwise lose. I like the text recognition feature especially. For me, Camscanner has more features than the \""big-box\"" competition apps. Update 20220112. Still using and loving CamScanner. Tried some of the others but was disappointed.""]",CamScanner - PDF Scanner App,3,4,2,CamScanner - PDF Scanner App__cluster_7,t-frex,allmini,balanced,0
card,wallet,"[""card"", ""pin""]","[""Has saved me so much time and effort with wallet keys etc attached to it"", ""Handy when you lose your wallet or keys :-)"", ""I absolutely love the tile. I haven't lost my keys my wallet or anything since I've used this product""]",Tile,2,3,2,Tile__cluster_30,t-frex,allmini,balanced,0
voice content,singing,"[""singer"", ""voice""]","[""Terrible application for singing a song"", ""iGanna is such a good app where we get to hear all the songs of our choice and also some live singing and live events too .. Thank u so much GAnna app for the wonderful experience giving us"", ""This is good app in singing""]",Gaana Hindi Song Music App,2,3,2,Gaana Hindi Song Music App__cluster_7,t-frex,allmini,balanced,0
grocery list,grocery shopping,"[""grocery check"", ""grocery needs"", ""grocery list"", ""food list"", ""store"", ""groceries"", ""shopping lists""]","[""It's perfect for me. So easy to keep list of what I need to get, or as list of small machinery with serial numbers and model numbers. Great for grocery shopping too!!"", ""I love this app and have been using it for years. The checklists makes grocery shopping or packing for a trip a breeze!"", ""Really like this app.... And, use it all the time. Especially for grocery shopping. One thing I would add... Is too be able to put things within folders/categories within a checklist. Ie: \""food\"", \""Toiletries\"", \""cleaning\"", etc...""]",ColorNote Notepad Notes,7,8,5,ColorNote Notepad Notes__cluster_22,t-frex,allmini,balanced,0
survey participation,questionnaire,"[""quiz"", ""questions""]","[""LOVE LOVE LOVE this app! It does exactly what it's suppose to. i have been using abound a year and I've earned like $35, which is awesome! Comes in really handy when you want something from play store and don't wanna use your bank card. Questionnaires are usually like 3 questions. Super simply and super easy. UPDATE - This app was great for about 1.5 years, then all of a sudden it STOPPED, just STOPPED sending me ANY questions. I Uninstalled & re-installed, gave all my info, and still nothing."", ""I do not get many polls and questionnaires as I used to I maybe get 1 every 6 months where as I used to get multiple a month."", ""Not annoying and is it a good way to make free money. Works better when you leave your GPS on, use Google voice assistance, or Google a lot of things more. It will give you surveys short (multiple choice 95% of the time, 1 to 12 questions at most, get anywhere between .10\u00a2-$1.00\u00b1) the longer the questionnaire the more you get paid. Save & then use the money to purchase things from the Google store like books, movies, games or gameplay.""]",Google Opinion Rewards,2,3,1,Google Opinion Rewards__cluster_10,t-frex,allmini,balanced,0
web search,google,"[""web"", ""site"", ""search""]","[""Very useful and efficient especially when corporated with Google drive."", ""I personally really like Google docs, the reason why I'm giving it 2 stars it's because of how laggy and difficult it's to use the app on mobile."", ""This app look like google drive. But i found some other feature like you can share a file or documents with friends or anyone. I really impressed to use this app.""]",Google Docs,3,4,2,Google Docs__cluster_4,t-frex,allmini,balanced,0
screen sharing,android sharing,"[""share screen"", ""screen sharing"", ""screen share""]","[""I can't find how to turn off Android sharing and it keeps saying that my Google home hub isn't connected to wifi yet it plays my Spotify and listens to most commands""]",Google Home,3,4,1,Google Home__cluster_17,t-frex,allmini,balanced,0
password reminders,notification,"[""reminder"", ""notified""]","[""Seriously, what happened LastPass? Nothing works the way it did 3 months ago. Also note: I AM a paid premium user. Autofill doesnt work on apps. LastPass loses permissions periodically in settings. The notification widget doesnt start or autofill anymore. The huge dealbreaker? These features just mysteriously vanished overnight. Also, all recent reviews are 1 star and no response? Stay away from this now. Use bitwarden instead. You can export/import all of your lastpass credentials into it."", ""I like LastPass but the app needs some fixes... It constantly is being removed from the notification bar or I have to turn it on manually on the Accessibility option. The autofill option is super unreliable, if it works at all..."", ""Very frustrated with this app, way too many flaws. Half the time auto-populate of passwords doesn't work, sometime the notification to select a password covers important info on the screen, since auto-populate doesn't work you should be able to copy the password, but you can't!! You have to \""edit\"" the file in order to enable copy. Anytime an app adds 3 extra layers to any quick function like \""copy\"" is frustrating! Lot's of times it only populates password and not user. Too many issues to list.""]",LastPass Password Manager,2,3,2,LastPass Password Manager__cluster_28,t-frex,allmini,balanced,0
camera controls,camera rotation,"[""video cam"", ""camera view""]","[""Bugs related to camera rotation is annoying""]",Webex Meetings,2,3,1,Webex Meetings__cluster_18,t-frex,allmini,balanced,0
music lovers,music selection,"[""music listening"", ""music playing"", ""music storage"", ""music sharing"", ""music quality"", ""music lovers"", ""share songs"", ""share music""]","[""Great music selections"", ""Good music selection."", ""Great music selection but the app is slow. I've even tried uninstalling/ reinstalling the app and factory resetting my phone (for another reason) but the app takes its sweet time loading songs. Pandora is so much better and cheaper""]",Spotify: Music and Podcasts,8,9,4,Spotify: Music and Podcasts__cluster_2,t-frex,allmini,balanced,0
image scanning,picture scanning,"[""scanner"", ""scanning"", ""photo scanning"", ""scan""]","[""The worst update so far. Is not like Google is the best of all apps, but it was reliable in a way. I see a lot of disappointing comments and I totally feel the same way. If you're not going to put it the way it was , at least make it more helpful and user friendly. The picture scanning doesn't work at all and I use it to translate my every day purchases since the country I live is Bulgaria and the language I can manage are others. I guess I have to look for other apps then1""]",Google Translate,4,5,2,Google Translate__cluster_27,t-frex,allmini,balanced,0
chat support,customer chat,"[""support chat"", ""member chat"", ""chat"", ""live chat"", ""seller chat""]","[""please review some of your customer chat support representatives as some of them are really good liers. they lie about the issue being resolved when its really not. im not sure if theyre underpaid or not doing their job properly.""]",Shopee PH: Shop on 3.3 - 3.15,5,6,4,Shopee PH: Shop on 3.3 - 3.15__cluster_34,t-frex,allmini,balanced,0
advertising,push ads,"[""marketing"", ""advertising"", ""advertisements"", ""ads""]","[""Once again stupid push ads playing in the background! For a music track! Stop it!""]",MyFitnessPal: Calorie Counter,4,5,2,MyFitnessPal: Calorie Counter__cluster_74,t-frex,allmini,balanced,0
history management,history checking,"[""history deleti"", ""history list"", ""search history""]","[""I I have you using old version it is very good and easy to use please fix old version new version is not good history checking also confused please give me help fix old version""]",Google Translate,3,4,3,Google Translate__cluster_9,t-frex,allmini,balanced,0
music playback,audio player,"[""music player"", ""mp3 player"", ""playback"", ""media player"", ""song player""]","[""Nice app, however, why doesn't this app have a simple section repeat functionality like other audio players?"", ""This is my most favourite audio player.i like this app."", ""No use this audio player very bad experiance""]",Samsung Music,5,6,4,Samsung Music__cluster_47,t-frex,allmini,balanced,0
verification,confirmation,"[""verification"", ""verify"", ""check""]","[""Confirmation via post card dosnt work. Waste of time""]",Nextdoor: Your Neighborhood,3,4,1,Nextdoor: Your Neighborhood__cluster_10,t-frex,allmini,balanced,0
social networking,social platform,"[""facebook"", ""social media"", ""social apps"", ""twitter""]","[""Aware of whats going on and other people locally. Good social platform"", ""I kind of wanted to give it 4 stars, because my first instinct is \""another social platform\"" to spread rumors and false info - and when I registered, nothing stunning about the the UI. But now after a couple of weeks, it does deserve 5 stars. Everyone on it are neighbors - about things in your hometown. Friendly. Fast working app. Ads are on minimum side, unobtrusive... And a nice way for people in your immediate area to chat safely, about anything going on in your area. And free! Completely!""]",Nextdoor: Your Neighborhood,4,5,3,Nextdoor: Your Neighborhood__cluster_36,t-frex,allmini,balanced,0
credit checks,checking,"[""test"", ""checks""]","[""it has taken a year or two but finally caught up. when first using credi karma the score is off by about 40 points so not reliable. now that it has corrected itself it is very helpful in traking so many financial factors. The banking portion is also very nice! I enjoy having a savings and checking with credit karma :)"", ""I like credit karma it's great for checking one's credit score. I don't like the credit card offers, refinancing and personal loan offers they aren't good they all have super high rates and/or high monthly payments. It's also a shame that credit karma is making changes and shoving these terrible offers in your face"", ""The Credit Karma app is great to for awareness purposes but don't let it be your only form of checking your credit because it is not always accurate for certain credit looks like mortgages.""]",Credit Karma,2,3,2,Credit Karma__cluster_16,t-frex,allmini,balanced,0
desktop usage,computer,"[""laptop"", ""desk""]","[""I've been on this app for about a year now and I love the thrill of it. It's very easy to understand and to keep up with. I'm so pleased I choice this one ,cause its so easy to use for dummies like me who are computer DUMMIES!LOL. WAY TO GO ROBINHOOD!"", ""A friendly way to learn to invest and take advance of the market. You don't need to be computer savages to be able to work the app. It keep you update in the ups and down. With a simple click you are able to manage your finds. It is also friendly to all generation . Once you get to know the app and the way to invest you will not stop moving your fu ads from one company to the other. Joing robbin hood if you want to make your money growth securely. Invite friends to invest and you both get free s"", ""The phone app is convenient,although actually logging in thru a computer gives a much larger graph and different options to look at other stocks and compare pricing and statistics.""]",Robinhood: Stocks & Crypto,2,3,2,Robinhood: Stocks & Crypto__cluster_98,t-frex,allmini,balanced,0
distance tracking,measurement,"[""measuring"", ""meter""]","[""Unable to track speed in KMH nor MPH. The measurements are not good enough for me."", ""I enjoy my runs with Coach Chris Bennett and I use this app for him and him only but I don't think the measurement of my distance/speed is accurate. My speed is overcalculated in the app and distance is under calculated. I have to rely on my Fitbit for that accuracy which I am not a fan of!"", ""On Android 12 connection to Xiaomi Mi Band 5 heart monitor is broken, measurement of vertical movement is not working.""]",Nike Run Club - Running Coach,2,3,2,Nike Run Club - Running Coach__cluster_24,t-frex,allmini,balanced,0
photo sharing,post pictures,"[""cam"", ""camera"", ""pic"", ""photos"", ""photographer"", ""pictures""]","[""Love it! I love that is parents have a way to communicate with the teacher. I love when teachers post pictures, so is parents can see our children and their activities, especially since Covid doesn't allow us on campus."", ""I love this app! My son's teacher uses it for his class, and she'll post pictures, updates on school events, and what they've done in class."", ""I'm grateful to be able to have consistent and reliable communication with my children's teachers. I like the ideas of kids earning points for things and all that but haven't utilized all the features. I also really like when teachers post pictures of the students, I'm always searching for my son or daughter. It's a very small glimpse of their day but still pretty cool.""]",ClassDojo,6,7,3,ClassDojo__cluster_41,t-frex,allmini,balanced,0
brain training,exercising,"[""gym"", ""exercise"", ""workout"", ""routine""]","[""Because exercising the brain is important"", ""This is a helpful app for brushing up on brain skills & exercising your mind. It has a variety of fun & visually stimulating ways to practice brain & thought stimulating activities. There's optional daily training where they randomly select 5 categories to practice or you can choose your own categories to practice. The app keeps track of performance over time. Helps you improve & brush up on math skills, grammar, spelling, comprehension, writing, speaking & memory. Highly suggest."", ""Great exercising of the mind!""]",Elevate - Brain Training Games,4,5,4,Elevate - Brain Training Games__cluster_0,t-frex,allmini,balanced,0
image capture,picture,"[""image"", ""pic""]","[""The mobile app for android is lacking a lot of features compare to PC. The ability to Record the call, Change of Background as well as picture-to-picture feature would be great to be added. I find using zoom quite hard in my mobile especially in my onlice class, I have to go back and forth in Zoom while using another app, while not being able to see the video. I find it challenging to use the Zoom app."", ""I can't change my profile picture Please solve it fast or else I will delete it \ud83d\ude24"", ""This was my first time using zoom , well wait my second time . Hey court today and it was a good experience the sound was clear the picture was clear I was able to hear come in and out going to break rooms so it was great I think I would be using this more often""]",ZOOM Cloud Meetings,2,3,2,ZOOM Cloud Meetings__cluster_154,t-frex,allmini,balanced,0
mindfulness,thinking,"[""mental"", ""mind""]","[""excellent way to control your thinking!"", ""Headspace has help me alot with my overthinking and anxiety. The daily meditation mixes up everyday which makes every meditation fresh and unique. You can also mark your favorite ones and use them anytime you want. I dont regret buying my subscription as its helping me a lot with being present and aware of myself and thoughts. I would recommend this app to anyone who has problems similar to mines. Thanks so much at the team who works at headspace I appreciate it from the bottom of my heart."", ""I trieda few years ago and liked it. Good introducci\u00f3n to meditation. I was thinking about retaking the app and maybe subscribe. But first I wanted to check it again. Oh my surprise, when there's no samples or tests or trials. The only option is a risky \""trial and subscribe\"", with a wording that sounds like a trap. A pity. I'll stop recommending this.""]",Headspace: Mindful Meditation,2,3,2,Headspace: Mindful Meditation__cluster_14,t-frex,allmini,balanced,0
web search,locations,"[""web"", ""google"", ""website"", ""search""]","[""It counts calories as you scan your foods. It has breakfast, lunch, dinner and snacks as the categories for food locations. Personally I would prefer to be able to adjust the amount of feed locations in a day. So I can track all 5 meals in their own mealtimes. This criticism is purely my opinion. The app is actually really good at what it does. It also syncs to fitbit and adjusts your calories accordingly (I don't use this feature) I would (and do) recommended this app.""]",MyFitnessPal: Calorie Counter,4,5,1,MyFitnessPal: Calorie Counter__cluster_31,t-frex,allmini,balanced,0
sharing,share information,"[""share button"", ""share lists"", ""share with"", ""sharing info""]","[""This app is very easy to use and so flexible. I can cut and paste information or I can use the share feature to share information or links that I need to reference. It also allows me to edit the information I have cut and paste so that I have bullets rather than paragraphs. Keeps me up to date, helps me with research, keeps frequently used information easily accessible.""]",Google Tasks,4,5,3,Google Tasks__cluster_40,t-frex,allmini,balanced,0
money transfer,wallet transfers,"[""bank transfer"", ""transfer""]","[""Shopee is the best! Advantages includes convenience, security, free shipping vouchers, daily discount vouchers, super brand days, payday sales, app games prizes, cashback in shopee coins, dedicated customer support, monthly big sales, bills payment, mobile load/data top ups, bank & e-wallet transfers, and many more. I love Shopee. \u2764\u2764\u2764\u2764\u2764\u2764\u2764\u2764\u2764\u2764""]",Shopee PH: Shop on 3.3 - 3.15,2,3,1,Shopee PH: Shop on 3.3 - 3.15__cluster_26,t-frex,allmini,balanced,0
photo posting,post pictures,"[""pic"", ""photos"", ""pictures""]","[""it's always so laggy! when you want to post pictures it freezes and you have to try again. \ud83d\ude44"", ""TERRIBLE app. First the bad: SLOW CRASHES MEMORY HOG CAN'T SEE PHOTOS to post pictures, CAN'T set defaults, if you leave the app you have to start over, CONSTANT NAG for features you DON'T WANT. Now the good... This app must have been developed in the 90's because that's how UN-RESPONSIVE and BUGGY it is. The developers should be EMBARRASSED but they don't care, or they would work on the SPECIFIC problems users have listed. UPDATE made it WORSE VOTED WORST APP 2020 2021 and 2022 congratulations"", ""Bot very good. Difficult to post pictures from my computer.""]",OfferUp: Buy. Sell. Letgo.,3,4,2,OfferUp: Buy. Sell. Letgo.__cluster_13,t-frex,allmini,balanced,0
media casting,audio casting,"[""screencast"", ""audiocast""]","[""Google's refusal to pay patent fees to Sonos rather than degrading the entire connected experience for Google hardware users is a travesty. Put your customers first. Among other issues, group audio casting from the Home app no longer works. This breaks a usecase for apps that do not natively support casting. After investing for years in thousands of dollars of Google devices, I will never buy Google hardware again. Hope it was worth it for Google to save a few dollars per user on patent fees.""]",Google Home,2,3,2,Google Home__cluster_68,t-frex,allmini,balanced,0
order processing,preparing order,"[""store order"", ""order process""]","[""Shopee doesn't protect you from anything. As soon as the seller clicks that \""preparing order\"" button, you'll have to pay for it. And NOW the app functions have gotten worse. It also crashes regularly now."", ""Shopee doesn't protect you from anything. As soon as the seller clicks that \""preparing order\"" button, you're screwed. You don't even get your free shipping. Shopee doesn't care because \""it's the seller fault they didn't set it up properly.\"" Shopee and sellers just blame one another and do NOTHING. Not to mention sellers blocking you for trying to get answers.""]",Shopee MY: 3.15 Consumer Day,2,3,2,Shopee MY: 3.15 Consumer Day__cluster_27,t-frex,allmini,balanced,0
media sharing,documents sharing,"[""share documents"", ""share pictures"", ""share media"", ""share files"", ""share data"", ""file sharing"", ""content sharing"", ""sharing images"", ""sharing info""]","[""voice, text, team communication and easier documents sharing""]",Microsoft Teams,9,10,5,Microsoft Teams__cluster_18,t-frex,allmini,balanced,0
business tools,marketing,"[""business"", ""company""]","[""I keep trying to use your marketing promo codes, it says it's applied when I add it, but then doesn't actually show in the order details or deduct anything. Please can you fix. It used to work fine in the past. Apart from that I like the app and user experience and once you fix the issue I would update my rating."", ""Doesn't let you turn off spammy marketing notifications. No options at all, you have to dig through the Android system settings and disable them at that level. This has been a trend since that feature was introduced in Android. Companies either being lazy because they \""don't need\"" to have a notifications settings page in the app, or malicious in that they think discouraging you from disabling promos will somehow make you want them more? Terrible app from a terrible company."", ""No notification settings within the app, so you have to go into android settings to turn off unwanted & unnecessary irritating promo/ marketing push notifications. Which is a cheap, disrespectful and sneaky policy quite frankly.""]",Uber Eats: Food Delivery,2,3,2,Uber Eats: Food Delivery__cluster_32,t-frex,allmini,balanced,0
app maintenance,deleted,"[""update"", ""message""]","[""Zero privacy, amazon is monitoring everything you are doing with blink devices via this app. They actually emailed me when I deleted the camera from within the app!!! Inexpensive cameras for their benefit, not yours."", ""App keeps crashing, can't view live feeds, been saying has a bug for days now and my last review got deleted. I paid for an app that won't work. Maybe it's time to look somewhere else."", ""How is it that if my camera is disabled, it is STILL RECORDING? I have had my 4 cameras for over a year this is a first. Twice , I got an alert on a camera that was not on. Scary. I deleted the cameras and the entire account. I reached out to Blink and the CSR was cold & uncaring. Just create a new account he said. With my 4 cameras devoid of their batteries I, set out to download the Blink app on a new device and create my new account. And, each time that I try to make an account, the app kicks me back to the Google Play download page. I have been at this for 3 days now. I used to be one to praise Blink cameras to others. Not any more. So disappointed.""]",Blink Home Monitor — Smart Home Security App,2,3,2,Blink Home Monitor — Smart Home Security App__cluster_23,t-frex,allmini,balanced,0
device pairing,connecting,"[""network"", ""pairing"", ""connected""]","[""Woeful sync issues constantly waste so much time connecting and reconnecting appetite to get it to work then stops again a day or two later"", ""Hi! I'm having a very hard time connecting my Google Fit app to my Weight Watchers app to track my steps. I've tried everything. Can you please help me?! W.W. couldn't help either. Thank you! Google has always worked for us. We need your help, please. Thank you!"", ""Just ok, it's constantly disconnecting from my watch and phone though and that's frustrating.""]",Google Fit: Activity Tracking,3,4,3,Google Fit: Activity Tracking__cluster_26,t-frex,allmini,balanced,0
network connectivity,network connection,"[""internet service"", ""internet banking"", ""net"", ""vpn"", ""wifi"", ""fi network"", ""private network"", ""connectivity""]","[""It's good \ud83d\udc4d\ud83d\ude0a but nowadays it doesn't work properly in free fire.it shows network connection error.so,dear sir-fix this problem as soon as possible,thank you""]",1.1.1.1: Faster & Safer Internet,8,9,6,1.1.1.1: Faster & Safer Internet__cluster_1,t-frex,allmini,balanced,0
data management,data collection,"[""data handling"", ""data farming"", ""data entry"", ""database""]","[""When you sign-up it requires that you consent to data collection with the option to opt-out later. I created the account and tried opting out but that requires deleting the account. I deleted the account and will not being be downloading the app in the future.""]",MyFitnessPal: Calorie Counter,4,5,3,MyFitnessPal: Calorie Counter__cluster_35,t-frex,allmini,balanced,0
communication,chat with people,"[""conversations"", ""communicate"", ""communication between"", ""communication with"", ""chatting""]","[""Ever since I upgraded to android 12, whenever I chat with people, the keyboard stops working.""]",OfferUp: Buy. Sell. Letgo.,5,6,2,OfferUp: Buy. Sell. Letgo.__cluster_17,t-frex,allmini,balanced,0
culinary services,food lover,"[""kitchen"", ""cook"", ""chefs""]","[""Food panda is the best app for food lover and I'm loving it but aik issue arha hai mujhai maine apna number register kerwana hai to Kindly ap mujhai guide kerdai kiu ke option mai jaker change ker raha hu but nahe horha hai change maira issue resolve kerwai JazakAllah"", ""Great App for the Food lovers."", ""Best food lover app""]",foodpanda: Food & Groceries,3,4,1,foodpanda: Food & Groceries__cluster_11,t-frex,allmini,balanced,0
fashion forward,matching outfits,"[""outfits"", ""dressing"", ""dresses"", ""fashion forward"", ""fashion taste"", ""clothing"", ""clothes"", ""costume"", ""garments""]","[""Really nice app however, I wished the options to purchase matching outfits was easier.""]",SHEIN-Fashion Shopping Online,9,10,6,SHEIN-Fashion Shopping Online__cluster_7,t-frex,allmini,balanced,0
sorting lists,priority lists,"[""sort lists"", ""sorting"", ""orders""]","[""I use this app every day. It is awesome! I do wish there was a way to rearrange my lists. I have several lists, and the priorities of those lists change sometimes. It would be nice to be able to be able to move the priority lists to the front. And then move them back when priorities change.""]",Google Tasks,3,4,2,Google Tasks__cluster_17,t-frex,allmini,balanced,0
song list,music list,"[""song list"", ""song pick"", ""songs"", ""playlist""]","[""It's great to be able to listen to any music that you want at anytime and make playlists. Really good stuff. Only thing is that I am unable to find the function that allows you to fluidly move back and forth on the as you would using a DJ app. Would be great if Spotify would incorporate a DJying app/ component, complete with all the tweaks like sirens, scratching, voice overs etc. Otherwise, Spotify just opened a whole new world of music listening pleasure. Love it!"", ""Spotify has been great lately. I only wish you could apply equalizer settings for each Playlist. I have various types of music lists, and it would be great if I didn't have to go to settings every time."", ""I use for music curation and podcast listening. Problem is, if you listen to podcasts then goodbye to ever seeing music recommendations on your home screen again. Why can you not turn off podcast recommendations or switch to music listening mode?! The music suggestion AI is so good when you can access. App itself randomly just stops playing regularly. No scroll function on podcasts for some reason, while they clearly have the ability to do so for playlists; makes browsing episodes a real pain.""]",Spotify: Music and Podcasts,4,5,4,Spotify: Music and Podcasts__cluster_7,t-frex,allmini,balanced,0
credit card options,credit cards,"[""card"", ""ghost cards"", ""bit card"", ""bank card""]","[""I love being able to make large purchases over time without using my credit cards"", ""great app, love the karma theme and easy access to creating virtual credit cards. the system of influence that ups your maximum limit that rewards on time an early payments enthusiastically is a nice touch. on top of which the extra rewards given is awesome. great app a+"", ""Its better to use Klarna than a credit card. Your credit card usage is reported monthly which can bring down your credit score. That does not happen with klarna. All my credit cards are 0 balance thanks to Klarna pay in 4.""]",Klarna | Shop now. Pay later.,4,5,4,Klarna | Shop now. Pay later.__cluster_0,t-frex,allmini,balanced,0
lost item tracking,squirrel,"[""hound"", ""collar""]","[""Easy to use. Highly recommend especially for folks like me who's got an attention span of a squirrel sometimes.""]",Tile,2,3,1,Tile__cluster_0,t-frex,allmini,balanced,0
gift card management,card collecting,"[""cards"", ""gift cards""]","[""Always helps me find what I'm looking for. I am in the card collecting hobby and use it at least 10 times a week. Continue To do what you're doing everything works great. Thanks""]",eBay: The shopping marketplace,2,3,2,eBay: The shopping marketplace__cluster_64,t-frex,allmini,balanced,0
web search,google search,"[""web"", ""website""]","[""New devices come with instructions that assume you don't already have something configured so the only instructions that come in the box are download the app and follow instructions there. Not true if the app is installed already so you just have to do a Google search""]",Arlo,2,3,1,Arlo__cluster_38,t-frex,allmini,balanced,0
card storage,payment card,"[""store cards"", ""giftcards"", ""credit card"", ""card reader"", ""google card"", ""travel card"", ""bit card"", ""bank card""]","[""Recent Google Pixel 6 Pro user and downloaded the GPay for storing the gift cards and payment cards. Whenever I close the app and reopen the app the data seems to get lost. I uninstalled and restarted the phone, did the exercise thrice now. Still seem to have the same issue. Time wasting and disappointed. Hope it gets resolved quickly."", ""Works 99.9999% of the time on my Galaxy Note 10. I used to have EE Cash-on-tap in 2010, (defunct now) so I was paying with my NFC phone way before Android Pay, later, Google Pay came along. Its very convenient. Now I'm using my watch to pay for stuff, so I dont even have to hold my phone at the till. Its super handy. Google Pay also includes Section 75 protection (on credit cards) or Chargeback on debit cards. Unlike other 3rd party payment cards."", ""I have been using the app for years. Recently keep making me setup the payment card. Works for a day or two and and againg disables the card and making me set up again.""]",Google Pay,8,9,6,Google Pay__cluster_11,t-frex,allmini,balanced,0
